TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2020,10,14,0,26,6XX DUNSMUIR ST,Central Business District,491547.5422,5458974.6376
Mischief,2020,10,13,5,37,6XX DUNSMUIR ST,Central Business District,491607.5802,5458927.3769
Mischief,2020,12,11,5,14,6XX DUNSMUIR ST,Central Business District,491607.5802,5458927.3769
Mischief,2020,2,26,23,0,6XX E 12TH AVE,Mount Pleasant,493488.0215,5456338.6244
Mischief,2020,5,14,2,20,6XX E 15TH AVE,Mount Pleasant,493437.0301,5456053.8227
Mischief,2020,1,23,19,30,6XX E 15TH AVE,Mount Pleasant,493444.6777,5456053.0955
Mischief,2020,12,26,8,0,6XX E 17TH AVE,Riley Park,493441.294,5455862.5362
Mischief,2020,12,26,18,30,6XX E 17TH AVE,Riley Park,493441.294,5455862.5362
Mischief,2020,9,8,18,0,6XX E 22ND AVE,Riley Park,493339.7076,5455361.8852
Mischief,2020,1,25,1,0,6XX E 22ND AVE,Riley Park,493428.5962,5455359.5448
Mischief,2020,4,19,22,0,6XX E 24TH AVE,Riley Park,493302.987,5455162.0456
Mischief,2020,6,15,8,45,6XX E 26TH AVE,Riley Park,493298.8303,5454994.6443
Mischief,2020,2,28,23,22,6XX E 46TH AVE,Sunset,493277.9586,5452835.3312
Mischief,2020,1,12,0,1,6XX E 53RD AVE,Sunset,493262.0323,5452109.1213
Mischief,2020,4,6,2,0,6XX E 63RD AVE,Sunset,493285.329,5451143.295
Mischief,2020,4,16,20,0,6XX E 7TH AVE,Mount Pleasant,493388.2023,5456841.7305
Mischief,2020,7,24,11,57,6XX E 7TH AVE,Mount Pleasant,493399.2663,5456850.7332
Mischief,2020,10,13,13,25,6XX E 8TH AVE,Mount Pleasant,493391.9955,5456740.7862
Mischief,2020,1,23,3,30,6XX E 8TH AVE,Mount Pleasant,493433.9167,5456740.0584
Mischief,2020,3,27,11,0,6XX E 8TH AVE,Mount Pleasant,493462.248,5456748.7121
Mischief,2020,11,9,23,0,6XX E 8TH AVE,Mount Pleasant,493462.248,5456748.7121
Mischief,2020,11,25,15,30,6XX E 8TH AVE,Mount Pleasant,493462.248,5456748.7121
Mischief,2020,3,31,17,31,6XX E BROADWAY AVE,Mount Pleasant,493382.8148,5456635.5998
Mischief,2020,4,26,11,42,6XX E BROADWAY AVE,Mount Pleasant,493382.8857,5456644.7435
Mischief,2020,2,28,21,49,6XX E BROADWAY AVE,Mount Pleasant,493423.7032,5456644.427
Mischief,2020,7,1,19,20,6XX E BROADWAY AVE,Mount Pleasant,493484.8585,5456634.8085
Mischief,2020,5,17,0,0,6XX E CORDOVA ST,Strathcona,493403.6057,5458817.9498
Mischief,2020,10,22,3,0,6XX E CORDOVA ST,Strathcona,493403.6057,5458817.9498
Mischief,2020,5,30,13,48,6XX E CORDOVA ST,Strathcona,493428.0536,5458826.3407
Mischief,2020,10,8,14,15,6XX E CORDOVA ST,Strathcona,493458.6161,5458825.3942
Mischief,2020,10,18,15,30,6XX E CORDOVA ST,Strathcona,493458.6161,5458825.3942
Mischief,2020,12,8,9,39,6XX E CORDOVA ST,Strathcona,493458.6161,5458825.3942
Mischief,2020,7,10,17,0,6XX E GEORGIA ST,Strathcona,493362.6696,5458415.8772
Mischief,2020,12,6,18,30,6XX E GEORGIA ST,Strathcona,493401.3002,5458414.7339
Mischief,2020,9,6,15,0,6XX E GEORGIA ST,Strathcona,493411.698,5458405.2775
Mischief,2020,8,21,22,0,6XX E GEORGIA ST,Strathcona,493417.2892,5458405.1125
Mischief,2020,1,24,23,0,6XX E HASTINGS ST,Strathcona,493354.526,5458715.093
Mischief,2020,6,5,17,8,6XX E HASTINGS ST,Strathcona,493354.526,5458715.093
Mischief,2020,7,17,11,0,6XX E HASTINGS ST,Strathcona,493354.7701,5458724.2337
Mischief,2020,10,5,9,0,6XX E HASTINGS ST,Strathcona,493354.7701,5458724.2337
Mischief,2020,12,3,7,55,6XX E HASTINGS ST,Strathcona,493354.7701,5458724.2337
Mischief,2020,4,3,10,32,6XX E HASTINGS ST,Strathcona,493390.7282,5458714.1263
Mischief,2020,1,3,23,1,6XX E HASTINGS ST,Strathcona,493414.0724,5458722.6502
Mischief,2020,5,8,15,30,6XX E HASTINGS ST,Strathcona,493416.5869,5458713.4358
Mischief,2020,5,10,14,55,6XX E HASTINGS ST,Strathcona,493416.5869,5458713.4358
Mischief,2020,10,14,6,40,6XX E HASTINGS ST,Strathcona,493416.5869,5458713.4358
