TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,9,5,0,5,4XX E HASTINGS ST,Strathcona,493078.7461,5458723.7976
Break and Enter Commercial,2022,5,26,9,26,4XX E HASTINGS ST,Strathcona,493148.1421,5458721.7226
Break and Enter Commercial,2022,6,1,7,24,4XX E HASTINGS ST,Strathcona,493148.1421,5458721.7226
Break and Enter Commercial,2022,7,22,8,6,4XX E WATERFRONT RD,Strathcona,493007.8822,5459192.8944
Break and Enter Commercial,2022,5,5,3,40,4XX INDUSTRIAL AVE,Strathcona,493026.6494,5457415.717
Break and Enter Commercial,2022,9,19,2,19,4XX INDUSTRIAL AVE,Strathcona,493026.6494,5457415.717
Break and Enter Commercial,2022,10,13,20,19,4XX INDUSTRIAL AVE,Strathcona,493098.2758,5457406.532
Break and Enter Commercial,2022,2,21,16,25,4XX PRIOR ST,Strathcona,493180.0871,5458212.7457
Break and Enter Commercial,2022,3,26,20,17,4XX RAILWAY ST,Strathcona,493090.2859,5459135.8819
Break and Enter Commercial,2022,5,24,1,0,4XX RAILWAY ST,Strathcona,493208.7742,5459123.1922
Break and Enter Commercial,2022,2,22,2,54,4XX TERMINAL AVE,Strathcona,493127.9789,5457693.1965
Break and Enter Commercial,2022,3,9,6,27,4XX TERMINAL AVE,Strathcona,493127.9789,5457693.1965
Break and Enter Commercial,2022,8,7,12,0,5X DUNLEVY AVE,Strathcona,493068.0477,5459117.9914
Break and Enter Commercial,2022,1,24,13,8,5XX E HASTINGS ST,Strathcona,493264.4067,5458718.0456
Break and Enter Commercial,2022,6,22,19,0,5XX E HASTINGS ST,Strathcona,493272.3902,5458726.9291
Break and Enter Commercial,2022,8,9,3,30,5XX GORE AVE,Strathcona,492922.9345,5458569.4634
Break and Enter Commercial,2022,8,15,3,0,5XX GORE AVE,Strathcona,492922.9345,5458569.4634
Break and Enter Commercial,2022,1,18,9,0,5XX GREAT NORTHERN WAY,Strathcona,493300.4716,5457123.2281
Break and Enter Commercial,2022,4,17,2,20,5XX GREAT NORTHERN WAY,Strathcona,493300.4716,5457123.2281
Break and Enter Commercial,2022,3,15,17,56,5XX MAIN ST,Strathcona,492751.8396,5458578.9727
Break and Enter Commercial,2022,4,10,18,10,5XX MALKIN AVE,Strathcona,493185.2823,5458214.0147
Break and Enter Commercial,2022,5,12,19,0,5XX RAILWAY ST,Strathcona,493229.8651,5459116.0739
Break and Enter Commercial,2022,5,3,22,41,5XX RAYMUR AVE,Strathcona,493983.0058,5458566.5087
Break and Enter Commercial,2022,7,25,14,56,6XX E HASTINGS ST,Strathcona,493446.4819,5458721.7848
Break and Enter Commercial,2022,9,23,11,29,6XX E HASTINGS ST,Strathcona,493446.4819,5458721.7848
Break and Enter Commercial,2022,4,2,2,0,6XX E HASTINGS ST,Strathcona,493457.041,5458712.3555
Break and Enter Commercial,2022,7,12,3,14,6XX GORE AVE,Strathcona,492932.0917,5458461.9591
Break and Enter Commercial,2022,2,1,0,0,6XX HEATLEY AVE,Strathcona,493477.3513,5458494.4498
Break and Enter Commercial,2022,9,21,3,30,6XX INDUSTRIAL AVE,Strathcona,493425.5492,5457311.9422
Break and Enter Commercial,2022,3,20,9,15,6XX MAIN ST,Strathcona,492749.1358,5458480.1113
Break and Enter Commercial,2022,1,11,1,17,6XX POWELL ST,Strathcona,493473.3172,5458925.3438
Break and Enter Commercial,2022,1,24,12,34,6XX TERMINAL AVE,Strathcona,493478.791,5457603.452
Break and Enter Commercial,2022,3,8,12,12,7XX E CORDOVA ST,Strathcona,493627.1628,5458810.7295
Break and Enter Commercial,2022,7,27,2,50,7XX E CORDOVA ST,Strathcona,493629.3578,5458810.6568
Break and Enter Commercial,2022,5,5,1,34,7XX E CORDOVA ST,Strathcona,493652.9575,5458819.0238
Break and Enter Commercial,2022,7,7,6,54,7XX E HASTINGS ST,Strathcona,493513.0482,5458719.4949
