TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,1,3,5,47,31XX GRANVILLE ST,Fairview,489899.5552,5456134.8986
Break and Enter Commercial,2022,10,7,18,0,31XX OAK ST,Fairview,490748.3153,5456053.4942
Break and Enter Commercial,2022,1,20,2,50,4XX MOBERLY RD,Fairview,491430.7684,5457321.242
Break and Enter Commercial,2022,1,30,18,46,5XX W 12TH AVE,Fairview,491525.979,5456417.3884
Break and Enter Commercial,2022,5,8,22,17,5XX W 12TH AVE,Fairview,491525.979,5456417.3884
Break and Enter Commercial,2022,6,6,1,26,5XX W 12TH AVE,Fairview,491525.979,5456417.3884
Break and Enter Commercial,2022,3,11,7,54,5XX W 13TH AVE,Fairview,491579.4094,5456300.9673
Break and Enter Commercial,2022,5,2,16,0,5XX W 13TH AVE,Fairview,491579.4094,5456300.9673
Break and Enter Commercial,2022,8,23,8,58,5XX W 16TH AVE,Fairview,491618.8535,5456027.3441
Break and Enter Commercial,2022,1,1,6,21,5XX W 7TH AVE,Fairview,491616.6041,5456923.6517
Break and Enter Commercial,2022,3,7,2,32,5XX W BROADWAY AVE,Fairview,491535.088,5456729.6935
Break and Enter Commercial,2022,5,19,19,0,5XX W BROADWAY AVE,Fairview,491542.0901,5456720.3609
Break and Enter Commercial,2022,4,13,5,13,5XX W BROADWAY AVE,Fairview,491585.5546,5456719.21
Break and Enter Commercial,2022,8,19,2,19,5XX W BROADWAY AVE,Fairview,491585.5546,5456719.21
Break and Enter Commercial,2022,8,19,2,33,5XX W BROADWAY AVE,Fairview,491585.5546,5456719.21
Break and Enter Commercial,2022,8,24,9,54,5XX W BROADWAY AVE,Fairview,491622.017,5456727.3918
Break and Enter Commercial,2022,3,13,5,40,6XX MARKET HILL,Fairview,491308.5288,5457197.684
Break and Enter Commercial,2022,8,22,5,32,6XX MOBERLY RD,Fairview,491418.2667,5457321.9423
Break and Enter Commercial,2022,9,19,6,6,6XX W 10TH AVE,Fairview,491440.5616,5456615.2054
Break and Enter Commercial,2022,8,9,6,16,6XX W 7TH AVE,Fairview,491311.7421,5456932.8249
Break and Enter Commercial,2022,10,7,0,53,6XX W 8TH AVE,Fairview,491445.6343,5456835.1426
Break and Enter Commercial,2022,6,7,1,33,6XX W BROADWAY AVE,Fairview,491338.5531,5456735.3055
Break and Enter Commercial,2022,2,15,20,52,7XX W 6TH AVE,Fairview,491210.7179,5457014.6589
Break and Enter Commercial,2022,8,3,13,0,7XX W 7TH AVE,Fairview,491218.8264,5456934.8817
Break and Enter Commercial,2022,2,9,23,28,7XX W 7TH AVE,Fairview,491246.2285,5456934.4136
Break and Enter Commercial,2022,2,22,22,26,7XX W 8TH AVE,Fairview,491238.0045,5456831.0534
Break and Enter Commercial,2022,2,15,0,0,7XX W 8TH AVE,Fairview,491253.9049,5456839.9814
Break and Enter Commercial,2022,10,4,9,0,7XX W 8TH AVE,Fairview,491255.8333,5456839.955
Break and Enter Commercial,2022,2,20,5,22,7XX W 8TH AVE,Fairview,491277.6778,5456830.5122
Break and Enter Commercial,2022,5,30,1,9,7XX W BROADWAY AVE,Fairview,491170.7248,5456739.2377
Break and Enter Commercial,2022,9,25,9,7,8XX W 14TH AVE,Fairview,490992.2335,5456214.2216
Break and Enter Commercial,2022,3,2,18,50,8XX W 7TH AVE,Fairview,491119.2193,5456936.758
Break and Enter Commercial,2022,3,5,3,30,8XX W 7TH AVE,Fairview,491119.2193,5456936.758
Break and Enter Commercial,2022,2,15,7,14,8XX W BROADWAY AVE,Fairview,491111.8477,5456731.6215
Break and Enter Commercial,2022,6,26,5,34,8XX W BROADWAY AVE,Fairview,491111.8477,5456731.6215
Break and Enter Commercial,2022,4,2,20,57,9XX W 6TH AVE,Fairview,490865.5808,5457027.0475
Break and Enter Commercial,2022,5,5,8,18,9XX W BROADWAY AVE,Fairview,490803.126,5456740.8492
Break and Enter Commercial,2022,5,5,5,58,9XX W BROADWAY AVE,Fairview,490806.5357,5456740.7623
Break and Enter Commercial,2022,8,15,15,19,9XX W BROADWAY AVE,Fairview,490837.4553,5456749.1212
Break and Enter Commercial,2022,9,12,4,10,9XX W BROADWAY AVE,Fairview,490874.7283,5456739.0241
Break and Enter Residential/Other,2022,7,24,22,0,10XX IRONWORK PASS,Fairview,490667.9603,5457250.6755
Break and Enter Residential/Other,2022,7,19,6,8,10XX IRONWORK PASS,Fairview,490707.7672,5457250.2325
Break and Enter Residential/Other,2022,9,16,23,0,10XX SITKA SQ,Fairview,490638.7209,5457111.3722
Break and Enter Residential/Other,2022,2,25,3,58,10XX W 10TH AVE,Fairview,490619.9491,5456638.8815
Break and Enter Residential/Other,2022,2,3,19,0,10XX W 11TH AVE,Fairview,490704.1755,5456543.4825
Break and Enter Residential/Other,2022,4,8,19,0,10XX W 12TH AVE,Fairview,490708.7439,5456424.2009
Break and Enter Residential/Other,2022,3,11,0,0,10XX W 13TH AVE,Fairview,490680.3291,5456324.5488
Break and Enter Residential/Other,2022,3,11,17,30,10XX W 13TH AVE,Fairview,490696.4971,5456324.1343
Break and Enter Residential/Other,2022,2,7,17,30,10XX W 13TH AVE,Fairview,490747.5746,5456331.9728
Break and Enter Residential/Other,2022,4,8,18,0,11XX W 11TH AVE,Fairview,490477.6099,5456539.3372
Break and Enter Residential/Other,2022,2,6,20,11,11XX W 12TH AVE,Fairview,490485.3208,5456445.518
Break and Enter Residential/Other,2022,2,21,0,0,12XX W 10TH AVE,Fairview,490408.2502,5456653.3491
Break and Enter Residential/Other,2022,2,6,13,0,12XX W 10TH AVE,Fairview,490426.991,5456652.8986
Break and Enter Residential/Other,2022,3,30,20,0,12XX W 10TH AVE,Fairview,490426.991,5456652.8986
Break and Enter Residential/Other,2022,6,24,10,30,12XX W 8TH AVE,Fairview,490368.1931,5456862.6929
Break and Enter Residential/Other,2022,5,27,15,17,13XX W 7TH AVE,Fairview,490189.8256,5456951.105
Break and Enter Residential/Other,2022,3,19,16,30,14XX W 11TH AVE,Fairview,490014.5559,5456559.7736
Break and Enter Residential/Other,2022,2,8,15,0,14XX W 11TH AVE,Fairview,490081.7992,5456557.3074
Break and Enter Residential/Other,2022,3,2,13,0,14XX W 15TH AVE,Fairview,489967.8922,5456149.5213
Break and Enter Residential/Other,2022,3,2,6,45,14XX W 15TH AVE,Fairview,489984.8766,5456148.7248
Break and Enter Residential/Other,2022,1,19,19,0,14XX W 15TH AVE,Fairview,490066.5462,5456144.8947
Break and Enter Residential/Other,2022,4,9,0,0,14XX W 8TH AVE,Fairview,489987.3332,5456872.0863
Break and Enter Residential/Other,2022,3,29,21,30,15XX W 11TH AVE,Fairview,489786.9537,5456565.7993
Break and Enter Residential/Other,2022,10,23,9,42,15XX W 1ST AVE,Fairview,489747.3419,5457601.2815
Break and Enter Residential/Other,2022,7,29,10,11,15XX W 1ST AVE,Fairview,489747.3419,5457601.2815
Break and Enter Residential/Other,2022,7,7,0,20,15XX W 1ST AVE,Fairview,489801.6901,5457630.1368
Break and Enter Residential/Other,2022,1,19,7,15,15XX W 8TH AVE,Fairview,489808.2006,5456867.6553
Break and Enter Residential/Other,2022,5,22,13,33,15XX W 8TH AVE,Fairview,489824.6966,5456867.2187
Break and Enter Residential/Other,2022,10,11,10,32,16XX DURANLEAU ST,Fairview,490105.4127,5457698.2852
Break and Enter Residential/Other,2022,1,29,17,15,16XX W 10TH AVE,Fairview,489677.705,5456672.7488
Break and Enter Residential/Other,2022,10,23,8,40,16XX W 4TH AVE,Fairview,489685.6993,5457247.1957
Break and Enter Residential/Other,2022,7,6,9,0,16XX W 4TH AVE,Fairview,489712.4156,5457255.6053
Break and Enter Residential/Other,2022,5,20,10,0,16XX W 8TH AVE,Fairview,489595.0557,5456882.8273
Break and Enter Residential/Other,2022,2,14,15,43,16XX W 8TH AVE,Fairview,489626.5708,5456882.1645
Break and Enter Residential/Other,2022,3,2,18,30,17XX W 11TH AVE,Fairview,489408.0326,5456567.4368
Break and Enter Residential/Other,2022,10,13,11,49,17XX W 14TH AVE,Fairview,489413.1275,5456267.4032
Break and Enter Residential/Other,2022,7,13,10,1,17XX W 14TH AVE,Fairview,489440.416,5456257.063
Break and Enter Residential/Other,2022,5,23,7,24,17XX W 16TH AVE,Fairview,489406.3549,5456059.8736
Break and Enter Residential/Other,2022,3,17,5,1,17XX W 7TH AVE,Fairview,489560.1369,5456976.4143
Break and Enter Residential/Other,2022,7,3,5,0,21XX ASH ST,Fairview,491463.3029,5457054.97
Break and Enter Residential/Other,2022,4,4,12,30,23XX ASH ST,Fairview,491450.1764,5456881.2789
Break and Enter Residential/Other,2022,5,2,16,30,23XX ASH ST,Fairview,491450.1764,5456881.2789
Break and Enter Residential/Other,2022,1,20,18,0,23XX ASH ST,Fairview,491450.6045,5456909.1257
Break and Enter Residential/Other,2022,5,10,20,23,26XX ASH ST,Fairview,491449.6794,5456586.165
Break and Enter Residential/Other,2022,2,3,16,18,26XX LONG LIFE PL,Fairview,491543.3854,5456600.1204
Break and Enter Residential/Other,2022,4,19,16,0,27XX HEATHER ST,Fairview,491269.2098,5456487.714
Break and Enter Residential/Other,2022,3,3,12,0,29XX SPRUCE ST,Fairview,490599.3449,5456294.3037
Break and Enter Residential/Other,2022,2,2,18,0,30XX HEATHER ST,Fairview,491258.9458,5456198.8088
Break and Enter Residential/Other,2022,2,18,19,17,30XX OAK ST,Fairview,490771.1687,5456204.123
Break and Enter Residential/Other,2022,1,31,8,0,31XX HEATHER ST,Fairview,491255.5217,5456083.4212
Break and Enter Residential/Other,2022,9,4,17,0,5XX W 7TH AVE,Fairview,491474.5541,5456927.4723
Break and Enter Residential/Other,2022,10,25,9,22,6XX MOBERLY RD,Fairview,491365.8078,5457135.0894
Break and Enter Residential/Other,2022,2,5,19,56,6XX W 13TH AVE,Fairview,491417.7242,5456314.8048
Break and Enter Residential/Other,2022,5,6,16,50,6XX W 8TH AVE,Fairview,491445.6343,5456835.1426
Break and Enter Residential/Other,2022,8,22,1,0,7XX W 12TH AVE,Fairview,491198.5761,5456418.7169
Break and Enter Residential/Other,2022,4,24,5,0,7XX W 8TH AVE,Fairview,491148.7337,5456841.4157
Break and Enter Residential/Other,2022,1,17,17,50,8XX W 13TH AVE,Fairview,491020.4792,5456315.5336
Break and Enter Residential/Other,2022,2,26,11,30,8XX W 13TH AVE,Fairview,491072.8442,5456313.899
Break and Enter Residential/Other,2022,1,21,18,24,8XX W 7TH AVE,Fairview,491079.9129,5456928.6044
Break and Enter Residential/Other,2022,1,18,13,45,8XX W 8TH AVE,Fairview,491051.7968,5456835.785
